,Movies,Genre
0, The Big Bull,"Crime, Drama, Hindi, 2021"
1, Tadap,"Romance, Action, Hindi, 2021"
2, Chhichhore,"Drama, Hindi, 2019"
3, Baaghi 3,"Action, Hindi, 2020"
4, Baby,"Action, Hindi, Tamil, 2015"
5, Eternals,"Superhero, Action, Adventure, Fantasy, English, Hindi, Tamil, Kannada, Malayalam, Telugu, 2021"
6, Veerappan,"Action, Hindi, 2016"
7, Entha Manchivaadavuraa,"Action, Telugu, 2020"
8, Tumi Ashbe Bole,"Romance, Drama, Bengali, 2021"
9, Baadshaho,"Drama, Hindi, 2017"
10, Atrangi Re,"Romance, Drama, Hindi, Tamil, 2021"
11, Housefull 4,"Comedy, Hindi, 2019"
12, The Ice-Man,"Comedy, English, 2019"
13, Mission Mangal,"Drama, Hindi, 2019"
14, Encanto,"Fantasy, Musical, Adventure, Animation, English, Hindi, Tamil, Telugu, 2021"
15, Tanhaji,"Drama, Historical, Hindi, Marathi, 2020"
16, Akhanda,"Action, Telugu, 2021"
17, Hubble's Amazing Universe,"Science, English, Hindi, Tamil, Bengali, Telugu, 2016"
18, Aftermath,"Thriller, Hindi, 2021"
19, Bangalore Days,"Romance, Malayalam, 2014"
20, Shang-Chi and The Legend of The Ten Rings,"Superhero, Action, Adventure, Fantasy, English, Hindi, Tamil, Kannada, Malayalam, Telugu, 2021"
21, Anbudan Appavukku,"Action, Tamil, 2016"
22, Total Dhamaal,"Comedy, Hindi, 2019"
23, Super 30,"Biopic, Hindi, 2019"
24, Shiddat,"Romance, Hindi, 2021"
25, Badhaai Ho,"Comedy, Hindi, 2018"
26, Gaddalakonda Ganesh,"Action, Telugu, 2019"
27, Jawaan,"Action, Hindi, 2017"
28, Brahma Janen Gopon Kommoti,"Drama, Bengali, 2020"
29, Comali,"Comedy, Tamil, 2019"
30, Bhuj: The Pride of India,"Action, Historical, Hindi, Tamil, Telugu, 2021"
31, Raid,"Crime, Hindi, 2018"
32, Jungle Cruise,"Action, Adventure, Fantasy, Family, Romance, English, Hindi, Tamil, Malayalam, Telugu, 2021"
33, Oozham - It's Just A Matter Of Time,"Action, Hindi, 2016"
34, Chaddi,"Romance, Comedy, Hindi, 2021"
35, Baahubali 2: The Conclusion,"Action, Fantasy, Telugu, 2017"
36, Sahaj Paather Gappo,"Drama, Bengali, 2016"
37, Hum Do Hamare Do,"Comedy, Drama, Hindi, 2021"
38, Sab Theek Hain,"Drama, Hindi, 2018"
39, Bro Daddy,"Family, Comedy, Malayalam, 2022"
40, The Proposal,"Romance, English, 2014"
41, Maatr,"Thriller, Hindi, 2017"
42, Farzand,"Drama, Historical, Marathi, 2018"
43, Dinosaur,"Animation, Fantasy, Adventure, Kids, English, Hindi, Tamil, Telugu, 2000"
44, Judwaa 2,"Comedy, Hindi, Tamil, 2017"
45, MCA Middle Class Abbayi,"Action, Hindi, 2017"
